C0,C1,C2,C3,C4,GAP,STATUS,SIZE_OF_POOL
0.1,1,1,0.1,1,0.6521344232515892,OptimizationStatus.FEASIBLE,10
0.1,1,1,1,0.01,2.269735348843359e-05,OptimizationStatus.OPTIMAL,10
0.1,1,1,1,0.1,0.276453765490943,OptimizationStatus.FEASIBLE,10
0.1,1,1,1,1,0.3890780335012931,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.01,0.01,0.1830699527825541,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.01,0.1,0.26630959940366095,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.01,1,0.0973533547609481,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.1,0.01,1.0616976265685223,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.1,0.1,1.164230687250693,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,0.1,1,0.6963842778095782,OptimizationStatus.FEASIBLE,10
1,0.01,0.01,1,0.01,2.7327197855084113e-07,OptimizationStatus.OPTIMAL,10
1,0.01,0.01,1,0.1,8.883130797958607e-05,OptimizationStatus.OPTIMAL,10
1,0.01,0.01,1,1,0.6060149428687237,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,0.01,0.01,0.25973954003879196,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,0.01,0.1,0.2632308118592406,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,0.01,1,0.23571982424399068,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,0.1,0.01,0.0,OptimizationStatus.OPTIMAL,10
1,0.01,0.1,0.1,0.1,1.1577206435122538,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,0.1,1,1.1241912798874825,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,1,0.01,0.6425559580198752,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,1,0.1,0.6427428034462598,OptimizationStatus.FEASIBLE,10
1,0.01,0.1,1,1,0.39424590792138764,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.01,0.01,0.5516723549488054,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.01,0.1,0.5222036727879796,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.01,1,0.5310457516339867,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.1,0.01,1.1439444444444444,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.1,0.1,1.1456944444444446,OptimizationStatus.FEASIBLE,10
1,0.01,1,0.1,1,1.1631944444444444,OptimizationStatus.FEASIBLE,10
1,0.01,1,1,0.01,0.44925333333333267,OptimizationStatus.FEASIBLE,10
1,0.01,1,1,0.1,0.5327782312925164,OptimizationStatus.FEASIBLE,10
1,0.01,1,1,1,0.5055782312925164,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,0.01,0.01,1.0274323148574647,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,0.01,0.1,0.3719346049046322,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,0.01,1,0.963530608634112,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,0.1,0.01,2.1386172083170806e-16,OptimizationStatus.OPTIMAL,10
1,0.1,0.01,0.1,0.1,1.05605083230654,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,0.1,1,0.3738498849884989,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,1,0.01,0.642355668046307,OptimizationStatus.FEASIBLE,10
1,0.1,0.01,1,0.1,9.937100837503064e-06,OptimizationStatus.OPTIMAL,10
1,0.1,0.01,1,1,0.0,OptimizationStatus.OPTIMAL,10
1,0.1,0.1,0.01,0.01,0.6897840968931018,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,0.01,0.1,1.0926803580832019,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,0.01,1,1.0312213039485765,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,0.1,0.01,1.0539887573256788,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,0.1,0.1,1.0554957540964,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,0.1,1,0.9827360400047626,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,1,0.01,2.6841458243634483e-06,OptimizationStatus.OPTIMAL,10
1,0.1,0.1,1,0.1,0.6426757712893022,OptimizationStatus.FEASIBLE,10
1,0.1,0.1,1,1,0.6652291160082986,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.01,0.01,1.9343703703703694,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.01,0.1,1.9437037037037046,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.01,1,2.0370370370370376,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.1,0.01,0.5970819304152638,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.1,0.1,1.0499461786867599,OptimizationStatus.FEASIBLE,10
1,0.1,1,0.1,1,1.0662177328843996,OptimizationStatus.FEASIBLE,10
1,0.1,1,1,0.01,2.6739397828736607e-05,OptimizationStatus.OPTIMAL,10
1,0.1,1,1,0.1,0.4491844483662219,OptimizationStatus.FEASIBLE,10
1,0.1,1,1,1,0.6458634151558903,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.01,0.01,0.8753078350202361,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.01,0.1,0.8809516200167465,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.01,1,0.4772494474095637,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.1,0.01,0.4095040167518817,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.1,0.1,0.34713257835465,OptimizationStatus.FEASIBLE,10
1,1,0.01,0.1,1,0.6924280742971434,OptimizationStatus.FEASIBLE,10
1,1,0.01,1,0.01,0.2790619643663381,OptimizationStatus.FEASIBLE,10
1,1,0.01,1,0.1,9.61701232094897e-05,OptimizationStatus.OPTIMAL,10
1,1,0.01,1,1,9.097075187220778e-05,OptimizationStatus.OPTIMAL,10
1,1,0.1,0.01,0.01,0.8757581738043548,OptimizationStatus.FEASIBLE,10
1,1,0.1,0.01,0.1,0.7724820735477927,OptimizationStatus.FEASIBLE,10
1,1,0.1,0.01,1,0.20623911003886872,OptimizationStatus.FEASIBLE,10
1,1,0.1,0.1,0.01,9.824533824660338e-06,OptimizationStatus.OPTIMAL,10
1,1,0.1,0.1,0.1,0.7883402432554572,OptimizationStatus.FEASIBLE,10
1,1,0.1,0.1,1,0.8090277777777778,OptimizationStatus.FEASIBLE,10
1,1,0.1,1,0.01,0.6419583041810139,OptimizationStatus.FEASIBLE,10
1,1,0.1,1,0.1,0.6421146977990567,OptimizationStatus.FEASIBLE,10
1,1,0.1,1,1,0.6450397043217326,OptimizationStatus.FEASIBLE,10
1,1,1,0.01,0.01,0.21333333333333127,OptimizationStatus.FEASIBLE,10
1,1,1,0.01,0.1,0.7916291899022605,OptimizationStatus.FEASIBLE,10
1,1,1,0.01,1,0.8888888888888886,OptimizationStatus.FEASIBLE,10
1,1,1,0.1,0.01,0.7970069561947731,OptimizationStatus.FEASIBLE,10
1,1,1,0.1,0.1,0.7974807294604246,OptimizationStatus.FEASIBLE,10
1,1,1,0.1,1,0.30601198530833174,OptimizationStatus.FEASIBLE,10
1,1,1,1,0.01,0.2799307169880123,OptimizationStatus.FEASIBLE,10
1,1,1,1,0.1,2.2790464468738346e-05,OptimizationStatus.OPTIMAL,10
1,1,1,1,1,0.3644651077988963,OptimizationStatus.FEASIBLE,10
